case_id,customer_id,date,category,resolution,agent_id,notes,was_correct,evidence_used
CASE-1008001,CUS-1001051,2026-05-26T00:00:00+00:00,refund,resolved_explanation,AGT-101,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008002,CUS-1001027,2026-08-06T00:00:00+00:00,refund,resolved_explanation,AGT-102,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008003,CUS-1001017,2026-08-22T00:00:00+00:00,delivery_dispute,resolved_explanation,AGT-103,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008004,CUS-1001027,2026-08-17T00:00:00+00:00,duplicate_payment,refunded,AGT-104,Previous agent notes: Issued full courtesy refund without checking active chargeback status. Customer sounded very upset so agent bypassed standard hold verification.,False,"[""DOC-0991""]"
CASE-1008005,CUS-1001042,2026-06-02T00:00:00+00:00,cancellation,resolved_explanation,AGT-100,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008006,CUS-1001009,2026-08-24T00:00:00+00:00,duplicate_payment,resolved_explanation,AGT-101,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008007,CUS-1001015,2026-06-07T00:00:00+00:00,refund,resolved_explanation,AGT-102,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008008,CUS-1001031,2026-08-15T00:00:00+00:00,cancellation,refunded,AGT-103,Previous agent notes: Issued full courtesy refund without checking active chargeback status. Customer sounded very upset so agent bypassed standard hold verification.,False,"[""DOC-0991""]"
CASE-1008009,CUS-1001016,2026-05-29T00:00:00+00:00,refund,resolved_explanation,AGT-104,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008010,CUS-1001016,2026-07-16T00:00:00+00:00,cancellation,resolved_explanation,AGT-100,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008011,CUS-1001001,2026-08-24T00:00:00+00:00,cancellation,resolved_explanation,AGT-101,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008012,CUS-1001029,2026-06-06T00:00:00+00:00,cancellation,refunded,AGT-102,Previous agent notes: Issued full courtesy refund without checking active chargeback status. Customer sounded very upset so agent bypassed standard hold verification.,False,"[""DOC-0991""]"
CASE-1008013,CUS-1001044,2026-08-23T00:00:00+00:00,cancellation,resolved_explanation,AGT-103,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008014,CUS-1001016,2026-06-19T00:00:00+00:00,refund,resolved_explanation,AGT-104,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008015,CUS-1001039,2026-08-18T00:00:00+00:00,cancellation,resolved_explanation,AGT-100,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008016,CUS-1001008,2026-06-13T00:00:00+00:00,cancellation,refunded,AGT-101,Previous agent notes: Issued full courtesy refund without checking active chargeback status. Customer sounded very upset so agent bypassed standard hold verification.,False,"[""DOC-0991""]"
CASE-1008017,CUS-1001059,2026-08-26T00:00:00+00:00,duplicate_payment,resolved_explanation,AGT-102,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008018,CUS-1001054,2026-06-12T00:00:00+00:00,duplicate_payment,resolved_explanation,AGT-103,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008019,CUS-1001056,2026-05-26T00:00:00+00:00,cancellation,resolved_explanation,AGT-104,Previous agent notes: Verified account credentials and advised customer on billing schedule.,True,"[""DOC-1001""]"
CASE-1008020,CUS-1001027,2026-07-28T00:00:00+00:00,cancellation,refunded,AGT-100,Previous agent notes: Issued full courtesy refund without checking active chargeback status. Customer sounded very upset so agent bypassed standard hold verification.,False,"[""DOC-0991""]"
