task_id,expected_resolution,must_escalate,required_evidence,category,issue,severity,expected_action
TASK-DEV-0001,refund,False,"[""DOC-1002"", ""TXN-DUP-A-8028"", ""TXN-DUP-B-2624""]",billing,duplicate_payment,medium,"{""tool"": ""issue_refund"", ""params"": {""transaction_id"": ""TXN-DUP-B-2624"", ""amount"": 99.0, ""reason"": ""duplicate payment refund""}}"
TASK-DEV-0002,refund,False,"[""DOC-1001"", ""TXN-REF-2031""]",billing,refund_request,medium,"{""tool"": ""issue_refund"", ""params"": {""transaction_id"": ""TXN-REF-2031"", ""amount"": 149.0, ""reason"": ""standard customer refund request""}}"
TASK-DEV-0003,deny,False,"[""DOC-1003"", ""SUB-CAN-4943""]",subscription,cancellation,medium,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0004,request_info,False,"[""DOC-1004""]",fulfillment,delivery_dispute,low,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-1001024""}}"
TASK-DEV-0005,escalate,True,"[""CUS-1001044"", ""DOC-1005""]",security,fraud_suspicion,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-CUS-1001044"", ""team"": ""security_operations"", ""reason"": ""confirmed foreign unauthorized access on account CUS-1001044 per DOC-1005""}}"
TASK-DEV-0006,escalate,True,"[""CASE-PREV-7004"", ""DOC-1842"", ""TXN-PREV-4730""]",billing,previous_agent_wrong,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-ESCALATE-TXN-PREV-4730"", ""team"": ""billing_specialists"", ""reason"": ""prior ticket CASE-PREV-7004 applied invalid precedent; active chargeback on TXN-PREV-4730 requires escalation per DOC-1842""}}"
TASK-DEV-0007,refund,False,"[""DOC-1002"", ""TXN-DUP-A-8504"", ""TXN-DUP-B-3999""]",billing,duplicate_payment,medium,"{""tool"": ""issue_refund"", ""params"": {""transaction_id"": ""TXN-DUP-B-3999"", ""amount"": 99.0, ""reason"": ""duplicate payment refund""}}"
TASK-DEV-0008,escalate,True,"[""DOC-1842"", ""TXN-REF-7811""]",billing,refund_request,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-TXN-REF-7811"", ""team"": ""billing_specialists"", ""reason"": ""active chargeback investigation blocks automatic refund on TXN-REF-7811 per DOC-1842""}}"
TASK-DEV-0009,request_info,False,"[""DOC-1003""]",subscription,cancellation,low,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-1001002""}}"
TASK-DEV-0010,escalate,True,"[""DOC-1004"", ""DOC-2001"", ""TXN-DEL-4574""]",fulfillment,delivery_dispute,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-TXN-DEL-4574"", ""team"": ""logistics_investigations"", ""reason"": ""signed courier proof of delivery on file for TXN-DEL-4574 requires investigation per DOC-1004""}}"
TASK-DEV-0011,request_info,False,"[""CUS-1001012"", ""DOC-1005""]",security,fraud_suspicion,medium,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-1001012"", ""verification_type"": ""identity""}}"
