id,customer_id,plan,billing_cycle,amount,status,start_date,renewal_date,lock_in_until,has_approved_exception,has_unresolved_dispute
SUB-1005001,CUS-1001001,pro_annual,annual,990.0,active,2025-10-29T00:00:00+00:00,2026-10-29T00:00:00+00:00,2026-10-29T00:00:00+00:00,False,False
SUB-1005002,CUS-1001002,starter_monthly,monthly,29.0,active,2025-10-14T00:00:00+00:00,2025-11-13T00:00:00+00:00,,False,False
SUB-1005003,CUS-1001003,enterprise_annual,annual,4990.0,active,2026-03-11T00:00:00+00:00,2027-03-11T00:00:00+00:00,2027-03-11T00:00:00+00:00,False,False
SUB-1005004,CUS-1001004,enterprise_annual,annual,4990.0,active,2026-05-02T00:00:00+00:00,2027-05-02T00:00:00+00:00,2027-05-02T00:00:00+00:00,False,False
SUB-1005005,CUS-1001005,starter_monthly,monthly,29.0,active,2026-03-07T00:00:00+00:00,2026-04-06T00:00:00+00:00,,False,False
SUB-1005006,CUS-1001006,pro_annual,annual,990.0,active,2025-10-17T00:00:00+00:00,2026-10-17T00:00:00+00:00,2026-10-17T00:00:00+00:00,False,False
SUB-1005007,CUS-1001007,pro_monthly,monthly,99.0,active,2025-09-26T00:00:00+00:00,2025-10-26T00:00:00+00:00,,False,False
SUB-1005008,CUS-1001008,pro_annual,annual,990.0,active,2026-02-15T00:00:00+00:00,2027-02-15T00:00:00+00:00,2027-02-15T00:00:00+00:00,False,False
SUB-1005009,CUS-1001009,pro_monthly,monthly,99.0,active,2026-03-03T00:00:00+00:00,2026-04-02T00:00:00+00:00,,False,False
SUB-1005010,CUS-1001010,starter_monthly,monthly,29.0,active,2026-07-03T00:00:00+00:00,2026-08-02T00:00:00+00:00,,False,False
SUB-1005011,CUS-1001011,pro_monthly,monthly,99.0,active,2026-04-03T00:00:00+00:00,2026-05-03T00:00:00+00:00,,False,False
SUB-1005012,CUS-1001012,starter_monthly,monthly,29.0,active,2026-07-21T00:00:00+00:00,2026-08-20T00:00:00+00:00,,False,False
SUB-1005013,CUS-1001013,pro_annual,annual,990.0,active,2026-05-13T00:00:00+00:00,2027-05-13T00:00:00+00:00,2027-05-13T00:00:00+00:00,False,False
SUB-1005014,CUS-1001014,pro_annual,annual,990.0,active,2025-11-22T00:00:00+00:00,2026-11-22T00:00:00+00:00,2026-11-22T00:00:00+00:00,True,False
SUB-1005015,CUS-1001015,enterprise_annual,annual,4990.0,active,2026-07-13T00:00:00+00:00,2027-07-13T00:00:00+00:00,2027-07-13T00:00:00+00:00,False,False
SUB-1005016,CUS-1001016,pro_annual,annual,990.0,active,2026-02-27T00:00:00+00:00,2027-02-27T00:00:00+00:00,2027-02-27T00:00:00+00:00,False,False
SUB-1005017,CUS-1001017,enterprise_annual,annual,4990.0,active,2025-09-21T00:00:00+00:00,2026-09-21T00:00:00+00:00,2026-09-21T00:00:00+00:00,False,False
SUB-1005018,CUS-1001018,pro_monthly,monthly,99.0,active,2026-02-12T00:00:00+00:00,2026-03-14T00:00:00+00:00,,False,False
SUB-1005019,CUS-1001019,pro_annual,annual,990.0,active,2026-05-27T00:00:00+00:00,2027-05-27T00:00:00+00:00,2027-05-27T00:00:00+00:00,False,False
SUB-1005020,CUS-1001020,pro_annual,annual,990.0,active,2026-02-28T00:00:00+00:00,2027-02-28T00:00:00+00:00,2027-02-28T00:00:00+00:00,False,False
SUB-1005021,CUS-1001021,pro_annual,annual,990.0,active,2026-02-02T00:00:00+00:00,2027-02-02T00:00:00+00:00,2027-02-02T00:00:00+00:00,True,False
SUB-1005022,CUS-1001022,pro_annual,annual,990.0,active,2026-02-14T00:00:00+00:00,2027-02-14T00:00:00+00:00,2027-02-14T00:00:00+00:00,False,False
SUB-1005023,CUS-1001023,starter_monthly,monthly,29.0,active,2025-10-30T00:00:00+00:00,2025-11-29T00:00:00+00:00,,False,False
SUB-1005024,CUS-1001024,pro_monthly,monthly,99.0,active,2025-09-20T00:00:00+00:00,2025-10-20T00:00:00+00:00,,False,False
SUB-1005025,CUS-1001025,starter_monthly,monthly,29.0,active,2026-02-05T00:00:00+00:00,2026-03-07T00:00:00+00:00,,False,False
SUB-1005026,CUS-1001026,pro_annual,annual,990.0,active,2026-02-05T00:00:00+00:00,2027-02-05T00:00:00+00:00,2027-02-05T00:00:00+00:00,False,False
SUB-1005027,CUS-1001027,pro_monthly,monthly,99.0,active,2025-12-30T00:00:00+00:00,2026-01-29T00:00:00+00:00,,False,False
SUB-1005028,CUS-1001028,pro_monthly,monthly,99.0,active,2026-02-03T00:00:00+00:00,2026-03-05T00:00:00+00:00,,False,False
SUB-1005029,CUS-1001029,enterprise_annual,annual,4990.0,active,2025-10-27T00:00:00+00:00,2026-10-27T00:00:00+00:00,2026-10-27T00:00:00+00:00,False,False
SUB-1005030,CUS-1001030,pro_annual,annual,990.0,active,2025-10-19T00:00:00+00:00,2026-10-19T00:00:00+00:00,2026-10-19T00:00:00+00:00,False,False
SUB-1005031,CUS-1001031,pro_annual,annual,990.0,active,2026-03-05T00:00:00+00:00,2027-03-05T00:00:00+00:00,2027-03-05T00:00:00+00:00,False,False
SUB-1005032,CUS-1001032,pro_monthly,monthly,99.0,active,2025-09-19T00:00:00+00:00,2025-10-19T00:00:00+00:00,,False,False
SUB-1005033,CUS-1001033,pro_monthly,monthly,99.0,active,2026-04-11T00:00:00+00:00,2026-05-11T00:00:00+00:00,,False,False
SUB-1005034,CUS-1001034,enterprise_annual,annual,4990.0,active,2026-04-20T00:00:00+00:00,2027-04-20T00:00:00+00:00,2027-04-20T00:00:00+00:00,False,False
SUB-1005035,CUS-1001035,enterprise_annual,annual,4990.0,active,2026-07-05T00:00:00+00:00,2027-07-05T00:00:00+00:00,2027-07-05T00:00:00+00:00,True,False
SUB-1005036,CUS-1001036,pro_monthly,monthly,99.0,active,2026-04-22T00:00:00+00:00,2026-05-22T00:00:00+00:00,,False,False
SUB-1005037,CUS-1001037,starter_monthly,monthly,29.0,active,2026-07-17T00:00:00+00:00,2026-08-16T00:00:00+00:00,,False,False
SUB-1005038,CUS-1001038,enterprise_annual,annual,4990.0,active,2026-04-29T00:00:00+00:00,2027-04-29T00:00:00+00:00,2027-04-29T00:00:00+00:00,False,False
SUB-1005039,CUS-1001039,starter_monthly,monthly,29.0,active,2026-05-06T00:00:00+00:00,2026-06-05T00:00:00+00:00,,False,False
SUB-1005040,CUS-1001040,enterprise_annual,annual,4990.0,active,2026-03-08T00:00:00+00:00,2027-03-08T00:00:00+00:00,2027-03-08T00:00:00+00:00,False,False
SUB-1005041,CUS-1001041,enterprise_annual,annual,4990.0,active,2026-07-08T00:00:00+00:00,2027-07-08T00:00:00+00:00,2027-07-08T00:00:00+00:00,False,False
SUB-1005042,CUS-1001042,pro_monthly,monthly,99.0,active,2025-09-15T00:00:00+00:00,2025-10-15T00:00:00+00:00,,False,False
SUB-1005043,CUS-1001043,enterprise_annual,annual,4990.0,active,2025-11-19T00:00:00+00:00,2026-11-19T00:00:00+00:00,2026-11-19T00:00:00+00:00,False,False
SUB-1005044,CUS-1001044,starter_monthly,monthly,29.0,active,2026-04-02T00:00:00+00:00,2026-05-02T00:00:00+00:00,,False,False
SUB-1005045,CUS-1001045,enterprise_annual,annual,4990.0,active,2026-04-06T00:00:00+00:00,2027-04-06T00:00:00+00:00,2027-04-06T00:00:00+00:00,False,False
SUB-1005046,CUS-1001046,enterprise_annual,annual,4990.0,active,2025-10-25T00:00:00+00:00,2026-10-25T00:00:00+00:00,2026-10-25T00:00:00+00:00,False,False
SUB-1005047,CUS-1001047,enterprise_annual,annual,4990.0,active,2026-02-08T00:00:00+00:00,2027-02-08T00:00:00+00:00,2027-02-08T00:00:00+00:00,False,False
SUB-1005048,CUS-1001048,enterprise_annual,annual,4990.0,active,2025-09-21T00:00:00+00:00,2026-09-21T00:00:00+00:00,2026-09-21T00:00:00+00:00,False,False
SUB-1005049,CUS-1001049,enterprise_annual,annual,4990.0,active,2026-06-15T00:00:00+00:00,2027-06-15T00:00:00+00:00,2027-06-15T00:00:00+00:00,True,False
SUB-1005050,CUS-1001050,starter_monthly,monthly,29.0,active,2026-08-08T00:00:00+00:00,2026-09-07T00:00:00+00:00,,False,False
SUB-1005051,CUS-1001051,pro_annual,annual,990.0,active,2026-07-22T00:00:00+00:00,2027-07-22T00:00:00+00:00,2027-07-22T00:00:00+00:00,False,False
SUB-1005052,CUS-1001052,pro_annual,annual,990.0,active,2025-11-08T00:00:00+00:00,2026-11-08T00:00:00+00:00,2026-11-08T00:00:00+00:00,False,False
SUB-1005053,CUS-1001053,pro_annual,annual,990.0,active,2026-02-15T00:00:00+00:00,2027-02-15T00:00:00+00:00,2027-02-15T00:00:00+00:00,False,False
SUB-1005054,CUS-1001054,enterprise_annual,annual,4990.0,active,2026-01-04T00:00:00+00:00,2027-01-04T00:00:00+00:00,2027-01-04T00:00:00+00:00,False,False
SUB-1005055,CUS-1001055,starter_monthly,monthly,29.0,active,2026-07-26T00:00:00+00:00,2026-08-25T00:00:00+00:00,,False,False
SUB-1005056,CUS-1001056,pro_annual,annual,990.0,active,2026-01-17T00:00:00+00:00,2027-01-17T00:00:00+00:00,2027-01-17T00:00:00+00:00,True,False
SUB-1005057,CUS-1001057,starter_monthly,monthly,29.0,active,2026-05-07T00:00:00+00:00,2026-06-06T00:00:00+00:00,,False,False
SUB-1005058,CUS-1001058,pro_annual,annual,990.0,active,2026-07-22T00:00:00+00:00,2027-07-22T00:00:00+00:00,2027-07-22T00:00:00+00:00,False,False
SUB-1005059,CUS-1001059,pro_monthly,monthly,99.0,active,2026-05-13T00:00:00+00:00,2026-06-12T00:00:00+00:00,,False,False
SUB-1005060,CUS-1001060,enterprise_annual,annual,4990.0,active,2026-02-04T00:00:00+00:00,2027-02-04T00:00:00+00:00,2027-02-04T00:00:00+00:00,False,False
